SL No.,Ayurveda Term,Sentence where it appears,Classification
44,Pitta,"nyū(ū)rdhvaṃ mūtrāṇyaṣṭau nibodha me||92||  
mukhyāni yāni diṣṭāni sarvāṇyātreyaśāsane|  
avimūtramajāmūtraṃ gomūtraṃ māhiṣaṃ ca yat ||93||  
hastimūtramathoṣṭrasya hayasya ca kharasya ca|  
uṣṇaṃ tīkṣṇamatho'rūkṣaṃ kaṭukaṃ lavaṇānvitam||94||  
mūtramutsādane yuktaṃ yuktamālepaneṣu ca|  
yuktamāsthāpane mūtraṃ yuktaṃ cāpi virecane||95||  
svedeṣvapi ca tadyuktamānāheṣvagadeṣu ca|  
udareṣvatha cārśaḥsu gulmikuṣṭhikilāsiṣu ||96||  
tadyuktamupanāheṣu pariṣeke tathaiva ca| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 45 
 
dīpanīyaṃ viṣaghnaṃ ca krimighnaṃ copadiśyate||97||  
pāṇḍurogopasṛṣṭānāmuttamaṃ śarma cocyate|  
śleṣmāṇaṃ śamayet pītaṃ mārutaṃ cānulomayet||98||  
karṣet pittamadhobhāgamityasmin guṇasaṅgrahaḥ|  
sāmānyena mayoktastu pṛthaktvena pravakṣyate||99||  
avimūtraṃ satiktaṃ syāt snigdhaṃ pittāvirodhi ca|  
ājaṃ kaṣāyamadhuraṃ pathyaṃ doṣānnihanti ca||100||  
gavyaṃ samadhuraṃ kiñciddoṣaghnaṃ krimikuṣṭhanut|  
kaṇḍūṃ ca śamayet pītaṃ samyagdoṣodare hitam||101||  
arśaḥśophodaraghnaṃ tu sakṣāraṃ māhiṣaṃ saram|  
hāstikaṃ lavaṇaṃ mūtraṃ hitaṃ tu krimikuṣṭhinām||102||  
praśastaṃ baddhaviṇmūtraviṣaśleṣmāmayārśasām|  
satiktaṃ śvāsakāsaghnamarśoghnaṃ cauṣṭramucyate||103||  
vājināṃ tiktakaṭukaṃ kuṣṭhavraṇaviṣāpaham|  
kharamūtramapasmāronmādagrahavināśanam||104||  
itīhoktāni mūtrāṇi yathāsāmarthyayogataḥ|105| 
Mutra – Types of urine - 
The most useful varieties of urine as explained by Atreya, are eight, viz., 
urine of sheep, goat, cow, buffalo, elephant, camel, horse and ass.",Symptom
45,Pitta,"They are prescribed as appetizers, antitoxics, bactericidals; They are also Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 46 
 
known as best remedies for those affected by Panduroga (anaemia), when 
taken in, it alleviates Kapha and Vata and also brings down Pitta.",Symptom
46,Vata,"They are prescribed as appetizers, antitoxics, bactericidals; They are also Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 46 
 
known as best remedies for those affected by Panduroga (anaemia), when 
taken in, it alleviates Kapha and Vata and also brings down Pitta.",Symptom
47,Kapha,"They are prescribed as appetizers, antitoxics, bactericidals; They are also Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 46 
 
known as best remedies for those affected by Panduroga (anaemia), when 
taken in, it alleviates Kapha and Vata and also brings down Pitta.",Symptom
48,Pitta,"These are 
the general properties (of urine), the specific ones are as follows: 
Urine of sheep is bitter, unctuous, and not opposed to Pitta; 
Urine of goat - that of the goat is astringent, sweet, wholesome and 
balances all the three Doshas.",Symptom
49,Kapha,"Elephant urine is saline; it is useful against bacterial infection and Kustha 
(skin diseases); it is specifically useful in cases of  constipation, Dysuria, 
toxic conditions, diseases due to Kapha and piles.",Symptom
50,Pitta,"[92-105] Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 47 
 
अतः िीराखण िक्ष्यवते कमघ चैिां गुणाश्च ये||१०५||  
अवििीरमजािीरं गोिीरं माहहिं च यत्|  
उष्ट्रीणामथ नागीनां िडिायाः न्स्त्रयास्तथा||१०६||  
प्रायशो मधुरं न्स्ननधं शीतं स्तवयं पयो मतम्|  
प्रीणनं बृंहणं िृष्यं मेध्यं बल्यं मनस्करम्||१०७||  
जीिनीयं श्रमहरं श्वासकासतनबहघणम्|  
हन्वत शोखणतवपत्तं च सवधानं विहतस्य च||१०८||  
सिघप्राणभृतां सात्म्यं शमनं शोधनं तथा|  
तृष्णाघ्नं दीपनीयं च श्रेष्ठं िीणितेिु च||१०९||  
पाण्डुरोगेऽम्लवपत्ते च शोिे गुल्मे तथोदरे|  
अतीसारे ज्िरे दाहे श्वयथौ च विशेितः ||११०||  
योतनशुक्रप्रदोिेिु मूत्रेष्िप्रचुरेिु च|  
पुरीिे ग्रगथते पथ्यं िातवपत्तविकाररणाम्||१११||  
नस्यालेपािगाहेिु िमनास्थापनेिु च|  
विरेचने स्नेहने च पयः सिघत्र युज्यते||११२||  
यथाक्रमं िीरगुणानेकैकस्य पृथक् पृथक्|  
अवनपानाहदकेऽध्याये भूयो िक्ष्याम्यशेितः||११३||   
 
ataḥ kṣīrāṇi vakṣyante karma caiṣāṃ guṇāśca ye||105||  
avikṣīramajākṣīraṃ gokṣīraṃ māhiṣaṃ ca yat|  
uṣṭrīṇāmatha nāgīnāṃ vaḍavāyāḥ striyāstathā||106||  
prāyaśo madhuraṃ snigdhaṃ śītaṃ stanyaṃ payo matam|  
prīṇanaṃ bṛṃhaṇaṃ vṛṣyaṃ medhyaṃ balyaṃ manaskaram||107||  
jīvanīyaṃ śramaharaṃ śvāsakāsanibarhaṇam|  
hanti śoṇitapittaṃ ca sandhānaṃ vihatasya ca||108||  
sarvaprāṇabhṛtāṃ sātmyaṃ śamanaṃ śodhanaṃ tathā|  
tṛṣṇāghnaṃ dīpanīyaṃ ca śreṣṭhaṃ kṣīṇakṣateṣu ca||109|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 48 
 
pāṇḍuroge'mlapitte ca śoṣe gulme tathodare|  
atīsāre jvare dāhe śvayathau ca viśeṣataḥ ||110||  
yoniśukrapradoṣeṣu mūtreṣvapracureṣu ca|  
purīṣe grathite pathyaṃ vātapittavikāriṇām||111||  
nasyālepāvagāheṣu vamanāsthāpaneṣu ca|  
virecane snehane ca payaḥ sarvatra yujyate||112||  
yathākramaṃ kṣīraguṇānekaikasya pṛthak pṛthak|  
annapānādike'dhyāye bhūyo vakṣyāmyaśeṣataḥ||113|| 
Milk – types and properties -  sheep, she-goat, cow, she-buffalo, she-
camel, she-elephant, mare and woman.",Symptom
51,Pitta,"General qualities of milk - Milk is generally sweet, unctuous (oily), 
coolant, lactogenic, refreshing, nourishing, aphrodisiac, useful for 
intelligence, strength-giving, useful for mental faculties, invigorating, 
fatigue-dispelling, reliever of dyspnoea and bronchitis; It cures Raktapitta 
(bleeding from different parts of the body) and helps heeling of the wound.",Symptom
52,Rakta,"General qualities of milk - Milk is generally sweet, unctuous (oily), 
coolant, lactogenic, refreshing, nourishing, aphrodisiac, useful for 
intelligence, strength-giving, useful for mental faculties, invigorating, 
fatigue-dispelling, reliever of dyspnoea and bronchitis; It cures Raktapitta 
(bleeding from different parts of the body) and helps heeling of the wound.",Ingredient
53,Pitta,"It is extremely useful in Kshataksina (phthisis), Pandu (anaemia), Amlapitta 
(hyperacidity), Shosha (consumption), Gulma (abdominal tumour), Udara 
(abdominal diseases including ascitis), Atisara (diarrhea), Jwara (fever), 
Daha (burning sensation) and specially in Shvavathu (edema).",Symptom
54,Jwara,"It is extremely useful in Kshataksina (phthisis), Pandu (anaemia), Amlapitta 
(hyperacidity), Shosha (consumption), Gulma (abdominal tumour), Udara 
(abdominal diseases including ascitis), Atisara (diarrhea), Jwara (fever), 
Daha (burning sensation) and specially in Shvavathu (edema).",Disease
55,Pitta,"It is wholesome diet for those suffering from 
Vata and Pitta imbalance disorders.",Symptom
56,Vata,"It is wholesome diet for those suffering from 
Vata and Pitta imbalance disorders.",Symptom
57,Pitta,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 61 
 
1.2 Understanding Tridosha And Their Qualities  
One of the biggest task for any beginner in Ayurveda is to get a good 
understanding of Doshas – Vata, Pitta and Kapha.",Symptom
58,Vata,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 61 
 
1.2 Understanding Tridosha And Their Qualities  
One of the biggest task for any beginner in Ayurveda is to get a good 
understanding of Doshas – Vata, Pitta and Kapha.",Symptom
59,Kapha,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 61 
 
1.2 Understanding Tridosha And Their Qualities  
One of the biggest task for any beginner in Ayurveda is to get a good 
understanding of Doshas – Vata, Pitta and Kapha.",Symptom
60,Vata,"Qualities of Vata Dosha are Rooksha – dryness, Laghu – Lightness, 
Sheeta – coldness, Khara – roughness, Sookshma – minuteness, Chala – 
movement 
Dryness – Any symptom in the body, that is associated with dryness is 
influenced by Vata.",Symptom
61,Vata,"All the skin diseases with dryness as a feature is 
due to Vata Dosha.",Symptom
62,Vata,"Lightness – Because Vata Dosha is composed of Vayu (air) and Akasha 
(ether), it is naturally very light.",Symptom
63,Vata,"So, whenever you feel there is lightness in 
the body, you can blindly assume that Vata is influencing your body.",Symptom
64,Vata,That lightness is due to Vata.,Symptom
65,Vata,"This is why, in the last article, while 
learning about Dosha dominance,  we learnt that the last part of digestion 
process is influenced by Vata.",Symptom
66,Vata,Notice that both cold and dry are Vata qualities.,Symptom
67,Vata,"Whenever your hands or legs are feeling cold, you can assume that there is 
Vata increase.",Symptom
68,Vata,"Pain is a 
symptom of Vata, and coldness is increasing the Vata symptom.",Symptom
69,Vata,"Like roughness 
in lips, rough cracked foot, etc are characteristic of Vata activity.",Symptom
70,Vata,"Minuteness – Vata, being made of ether and air, it can penetrate through 
all the body channels, into deepest tissues.",Symptom
71,Vata,Chala – movement – increase in movement is due to Vata.,Symptom
72,Vata," The movement of fluids, food, nutrients etc inside body, gastro intestinal 
track is due to Vata.",Symptom
73,Vata," Locomotion activities such as walking, limb movements is due to Vata.",Symptom
74,Vata, Anything that is related to movement is due to Vata.,Symptom
75,Vata," Excretion of feces, urine etc are due to Vata only.",Symptom
76,Vata, Vata body type person usually can not keep his legs still.,Symptom
77,Pitta,"Qualities of Pitta Dosha – Sasneha – slightly oily, unctuous, Teekshna – 
piercing, entering into deep tissues, Ushna – hotness, Laghu – lightness, Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 63 
 
Visram – bad smell, sara – having fluidity, movement, drava – liquidity are 
the qualities of Pitta.",Symptom
78,Pitta,Pitta Dosha can be compared to fire.,Symptom
79,Pitta,"Piercing, penetrating – Because Pitta is made up of fire and water, it has 
the capacity to enter into deep body tissues.",Symptom
80,Pitta,"Ushna – hotness – All the warm factors in the body is influenced by Pitta 
Dosha.",Symptom
81,Pitta," All the metabolic activities also generate some amount of energy, and 
hence are influenced by Pitta Dosha.",Symptom
82,Pitta," Whenever there is increase in temperature, as in fever, there is increase 
of Pitta in the body.",Symptom
83,Pitta,"Lightness – because Pitta is made of water and fire components, and fire 
part is higher than the water part, lightness is also a quality of Pittha.",Symptom
84,Pitta,Bad smell – The bad breath problem is usually influenced by Pitta Dosha.,Symptom
85,Pitta,The bad smell in feces and urine are also influenced by Pitta.,Symptom
86,Pitta,"Fluidity, liquidity – are also qualities of Pitta.",Symptom
87,Pitta,"Pitta can be conceptualised as 
a liquid fuel burning.",Symptom
88,Kapha,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 64 
 
Qualities of Kapha Dosha –  
Snigdhna – oily, unctuous, Sheeta – cold, Guru – heavy, Manda – mild, 
viscous, shlakshna – smooth, clear, Mrutsna – slimy, jelly, sthira – stability, 
immobility are the qualities of Kapha.",Symptom
89,Kapha," Hence all the lubrication factors in joints (synovial fluid), vertebral discs, 
cerebro-spinal fluid around brain, pleural fluid etc are Kapha factors.",Symptom
90,Kapha," Oily skin is due to Kapha 
 Generally all the oils, oily food stuff, deep fried food tend to increase 
Kapha.",Symptom
91,Vata,Cold – is due to both Kapha and Vata Doshas.,Symptom
92,Kapha,Cold – is due to both Kapha and Vata Doshas.,Symptom
93,Kapha, Kapha is formed by water and earth matters.,Symptom
94,Kapha," Cold is a nature of water, hence it is a quality of Kapha as well.",Symptom
95,Kapha,"Winter means cold, respiratory 
diseases are more commonly due to Kapha Dosha.",Symptom
96,Kapha," Cold food stuff like ice cream, cucumber, frozen food stuff increase 
Kapha.",Symptom
97,Kapha,"Heavy – Wherever you can observe heaviness, there is definite influence of 
Kapha.",Symptom
98,Kapha,"Heavy body, or being overweight has 
influence of Kapha.",Symptom
99,Kapha,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 65 
 
Mild and viscous – delay in expressing feelings, delay in understanding etc 
are features of Kapha body type.",Symptom
100,Kapha,"Smoothness, jelly – are qualities of Kapha.",Symptom
101,Kapha,Clear – clarity – is a quality of Kapha Dosha.,Symptom
102,Kapha,"usually person with Kapha 
body type, though may take a long time to understand and decide, his 
belief system will be very clear.",Symptom
103,Kapha,Stablity and immobility are due to Kapha Dosha.,Symptom
104,Kapha,"Wherever there is 
stiffness, there is definite influence of Kapha.",Symptom
105,Vata,"For example, in rheumatoid 
arthritis (Amavata), Kapha has influence.",Symptom
106,Kapha,"For example, in rheumatoid 
arthritis (Amavata), Kapha has influence.",Symptom
107,Kapha,"Note here that both cold and 
stiffness are due to Kapha.",Symptom
108,Kapha,"[ 1-2 ] 
Herbs used For Nasya treatment  
अपामागघस्य बीजातन वपप्पलीमघररचातन च|  
विडङ्गावयथ सशग्रूखण सिघपांस्तुम्बुरूखण च||३||  
अजाजीं चाजगवधां  च पीलूवयेलां हरेणुकाम्|  
पृथ्िीकां सुरसां श्वेतां कुठेरकफखणज्झकौ||४||  
सशरीिबीजं लशुनं हरररे लिणद्वयम्|  
ज्योततष्मतीं नागरं च दयाच्छीिघविरेचने||५||  
गौरिे सशरसः शूले पीनसेऽधाघिभेदके|  
क्रक्रसमव्याधािपस्मारे घ्राणनाशे प्रमोहके||६|| 
apāmārgasya bījāni pippalīrmaricāni ca|  
viḍaṅgānyatha śigrūṇi sarṣapāṃstumburūṇi ca||3||  
ajājīṃ cājagandhāṃ  ca pīlūnyelāṃ hareṇukām|  
pṛthvīkāṃ surasāṃ śvetāṃ kuṭherakaphaṇijjhakau||4|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 67 
 
śirīṣabījaṃ laśunaṃ haridre lavaṇadvayam|  
jyotiṣmatīṃ nāgaraṃ ca dadyācchīrṣavirecane||5||  
gaurave śirasaḥ śūle pīnase'rdhāvabhedake|  
krimivyādhāvapasmāre ghrāṇanāśe pramohake||6|| 
Herbs used For Nasya treatment - to treat diseases pertaining to head, 
ear nose and throat –  
In order to eliminate Doshas from the head in the event of heaviness of 
head, headache, rhinitis, hemicrania (single side headache), infectious 
diseases of the head, epilepsy, inosmnia and fainting, one should prescribe 
seeds of Apamarga (Achyranthes Aspera Linn.), 
Pippali (Piper longum Linn.), 
Maricha  – Long pepper (Piper nigrum Linn.), 
Vidanga  – False Black Pepper (Embelia ribes Burm.",Symptom
